,date,open,high,low,close,volume,symbol
634,2020-06-15 00:00:00,9342.1,9495.0,8910.45,9426.02,86107.924707,ETH
633,2020-06-16 00:00:00,9426.05,9589.0,9373.09,9525.59,52052.446927,ETH
632,2020-06-17 00:00:00,9526.97,9565.0,9236.61,9465.14,48046.411152,ETH
631,2020-06-18 00:00:00,9465.13,9489.0,9280.0,9386.32,37381.953765,ETH
630,2020-06-19 00:00:00,9386.32,9438.3,9215.79,9310.23,45330.983673,ETH
629,2020-06-20 00:00:00,9310.23,9395.0,9170.95,9358.95,30329.065383999998,ETH
628,2020-06-21 00:00:00,9358.95,9422.0,9281.54,9294.69,24316.926234,ETH
627,2020-06-22 00:00:00,9294.69,9780.0,9277.09,9685.69,57895.46834299999,ETH
626,2020-06-23 00:00:00,9685.69,9720.0,9577.03,9624.89,41031.02938,ETH
625,2020-06-24 00:00:00,9624.33,9670.0,9208.0,9296.49,61571.561464,ETH
624,2020-06-25 00:00:00,9298.33,9340.0,9009.69,9249.49,55831.61915599999,ETH
623,2020-06-26 00:00:00,9249.49,9298.0,9045.45,9162.21,50292.298277,ETH
622,2020-06-27 00:00:00,9162.21,9196.24,8833.0,9012.0,46290.930113,ETH
621,2020-06-28 00:00:00,9012.0,9191.0,8948.06,9116.35,30688.176420999996,ETH
620,2020-06-29 00:00:00,9116.16,9238.0,9024.67,9192.56,42120.293261,ETH
619,2020-06-30 00:00:00,9192.93,9205.0,9064.89,9138.55,31463.162801,ETH
618,2020-07-01 00:00:00,9138.08,9292.0,9080.1,9232.0,38488.528699,ETH
617,2020-07-02 00:00:00,9231.99,9261.96,8940.0,9086.54,45725.168076,ETH
616,2020-07-03 00:00:00,9086.54,9125.0,9037.47,9058.26,28943.420176999996,ETH
615,2020-07-04 00:00:00,9057.79,9190.0,9040.04,9135.46,26441.968484,ETH
614,2020-07-05 00:00:00,9135.0,9145.24,8893.03,9069.41,34073.653627,ETH
613,2020-07-06 00:00:00,9069.41,9375.0,9055.92,9344.2,54463.132277,ETH
612,2020-07-07 00:00:00,9342.47,9379.42,9203.0,9257.39,34587.336678,ETH
611,2020-07-08 00:00:00,9257.4,9470.0,9231.0,9436.06,56140.517780999995,ETH
610,2020-07-09 00:00:00,9436.06,9440.79,9160.0,9232.43,48044.450645,ETH
609,2020-07-10 00:00:00,9232.42,9317.48,9125.0,9288.34,38295.494006,ETH
608,2020-07-11 00:00:00,9288.34,9299.28,9178.25,9234.03,22561.366,ETH
607,2020-07-12 00:00:00,9234.02,9345.0,9157.5,9302.75,30872.702286,ETH
606,2020-07-13 00:00:00,9303.31,9343.82,9200.89,9242.62,42740.069115,ETH
605,2020-07-14 00:00:00,9242.61,9279.54,9113.0,9255.85,45772.552509,ETH
604,2020-07-15 00:00:00,9255.85,9276.49,9160.57,9197.6,39053.579665,ETH
603,2020-07-16 00:00:00,9197.6,9226.15,9047.25,9133.72,43375.571191,ETH
602,2020-07-17 00:00:00,9133.72,9186.83,9089.81,9154.32,28054.358741000004,ETH
601,2020-07-18 00:00:00,9154.31,9219.3,9121.1,9170.28,22554.541457,ETH
600,2020-07-19 00:00:00,9170.3,9232.27,9101.35,9208.99,26052.019417,ETH
599,2020-07-20 00:00:00,9208.99,9221.52,9131.0,9160.78,35458.764082,ETH
598,2020-07-21 00:00:00,9160.78,9437.73,9152.8,9390.0,60413.582486,ETH
597,2020-07-22 00:00:00,9390.0,9544.0,9261.0,9518.16,48815.004107,ETH
596,2020-07-23 00:00:00,9518.16,9664.0,9440.33,9603.27,51856.2335,ETH
595,2020-07-24 00:00:00,9603.27,9637.0,9463.44,9537.8,43931.136205,ETH
594,2020-07-25 00:00:00,9538.1,9732.9,9513.0,9700.42,40679.545416,ETH
593,2020-07-26 00:00:00,9700.42,10111.0,9650.0,9931.54,65279.26931900001,ETH
592,2020-07-27 00:00:00,9931.54,11394.86,9917.21,11029.96,150188.933144,ETH
591,2020-07-28 00:00:00,11029.96,11242.23,10565.0,10906.27,97267.734187,ETH
590,2020-07-29 00:00:00,10906.27,11342.82,10812.0,11100.53,76838.09423300001,ETH
589,2020-07-30 00:00:00,11100.52,11170.0,10831.0,11099.61,60794.826455999995,ETH
588,2020-07-31 00:00:00,11099.79,11444.0,10960.0,11335.46,70063.660974,ETH
587,2020-08-01 00:00:00,11335.46,11861.0,11220.0,11801.17,85087.485126,ETH
586,2020-08-02 00:00:00,11801.17,12123.46,10518.5,11071.35,97553.07760399999,ETH
585,2020-08-03 00:00:00,11071.36,11473.0,10936.0,11219.81,56931.841475,ETH
584,2020-08-04 00:00:00,11219.68,11414.98,11000.0,11191.97,58629.113709000005,ETH
583,2020-08-05 00:00:00,11191.99,11780.93,11093.0,11744.91,74970.25685199999,ETH
582,2020-08-06 00:00:00,11744.91,11900.0,11562.5,11762.46,63529.085020000006,ETH
581,2020-08-07 00:00:00,11762.47,11909.94,11322.0,11594.23,65755.926022,ETH
580,2020-08-08 00:00:00,11594.36,11808.27,11512.0,11761.41,41858.16104,ETH
579,2020-08-09 00:00:00,11761.02,11797.11,11521.97,11681.68,41493.067342,ETH
578,2020-08-10 00:00:00,11681.69,12067.35,11450.0,11892.92,84952.337887,ETH
577,2020-08-11 00:00:00,11892.9,11935.0,11125.0,11392.08,90748.28463400001,ETH
576,2020-08-12 00:00:00,11392.09,11617.52,11150.0,11564.33,64909.613644000005,ETH
575,2020-08-13 00:00:00,11564.34,11792.96,11270.36,11780.0,70132.491502,ETH
574,2020-08-14 00:00:00,11779.77,11850.0,11634.03,11760.54,59818.852697,ETH
573,2020-08-15 00:00:00,11760.55,11980.0,11680.0,11852.4,56237.90505,ETH
572,2020-08-16 00:00:00,11852.4,11931.72,11686.0,11911.0,41368.236906,ETH
571,2020-08-17 00:00:00,11910.99,12468.0,11769.78,12281.13,84734.21154,ETH
570,2020-08-18 00:00:00,12281.15,12387.77,11817.93,11945.01,75923.835527,ETH
569,2020-08-19 00:00:00,11945.1,12020.08,11561.0,11754.59,73940.169606,ETH
568,2020-08-20 00:00:00,11754.38,11888.0,11668.0,11853.55,46085.254350999996,ETH
567,2020-08-21 00:00:00,11853.54,11878.0,11485.81,11531.34,64448.306141999994,ETH
